Size,ยี่ห้อยาง,Model,Load Index,Price,DOT 1,จำนวน1,โปรโมชั่น1,DOT 2,จำนวน2,โปรโมชั่น2,DOT 3,จำนวน3,โปรโมชั่น3,DOT 4,จำนวน 4,โปรโมชั่น 4
1757013,MAXXIS,MAP-5,82T,500,0,2,,,0,,,,,,,
1855515,YOKOHAMA,E70,,,,,,,,,,,,,,
1855516,YOKOHAMA,,,,,,,,,,,,,,,
1856015,YOKOHAMA,E70,84H,2200,,,,,,,,,,,,
1955015,YOKOHAMA,E70,,,,,,,,,,,,,,
1955515,YOKOHAMA,E70,,,,,,,,,,,,,,
2055516,YOKOHAMA,E70,91V,2750,,,,,,,,,,,,
2156016,YOKOHAMA,E75,95V,,,,,,,,,,,,,
2254019,PIRELLI ,P-ZERO RFT,93Y,11000,,,,,,,,,,,,
2156517,MICHELIN,PRIMACY 5,,,,,,,,,,,,,,
2157015,MICHELIN,AGILIS 3,109/107S,3350,1625,9,เงินสด3200,2325,8,เงินสด3200,,,,,,
2255017,MICHELIN,e-PRIMACY,94V,6000,,,,,,,,,,,,
2255018,MICHELIN,PRIMACY 5,99W,6500,1225,2,6500,1325,4,6500,1425,20,4500,1200,8,6500
2255018,MICHELIN,e-PRIMACY,99W,6500,4324,4,6500(3แถม1),4424,17,6500(3แถม1),4524,15,6500(3แถม1),4624,12,6500(3แถม1)
2255018,MICHELIN,PRIMACY 3 ZP*,95W,6500,2054,3,2200,2010,6,6500,2022,4,6500,2000,7,6500
2255018,MICHELIN,Marmoonz,,12000,0,0,,,0,,,0,,,0,
2256017,MICHELIN,PRIMACY 4,103V,-,2724,4,7000(3แถม1),0125,16,,,,,,,
2256017,MICHELIN,PRIMACY 5,103V,6950,2125,4,ไม่แบ่ง,,,,,,,,,
2256018,MICHELIN,PRIMACY SUV+,,7200,,,,,,,,,,,,
2256018,MICHELIN,e-PRIMACY,104V,7500,,,,,,,,,,,,
2256517,MICHELIN,PRIMACY SUV+,106H,6800,0725,4,พิเศษ 6200,,,,,,,,,
2256517,MICHELIN,PRIMACY 4 SUV ,102H,6200,,,ไม่แบ่ง,,,,,,,,,
2257514,MICHELIN,XCD2,115/113P,4950,2325,4,เงินสด4600,,,,,,,,,
2257515,MICHELIN,XCD2,116/114Q,5450,1525,3,เงินสด5200,2325,10,เงินสด5200,,,,,,
2353519,MICHELIN,PILOT 5,91Y,8800,,,,,,,,,,,,
2353519,MICHELIN,PILOT 4S,91Y,,,,,,,,,,,,,
2354018,MICHELIN,PILOT 5,95Y,6700,0724,1,พิเศษ5000,2525,4,,2625,4,,,,
2354019,MICHELIN,PILOT 5,96Y,8000,0825,4,,,,,,,,,,
2354019,MICHELIN,e-PRIMACY VOL,96W,9300,,,,,,,,,,,,
2354517,MICHELIN,PRIMACY 5,,6600,,,,,,,,,,,,
1955015,MAXXIS,MAP-5,,,,,,,,,,,,,,
1955515,MAXXIS,MAP-5,85V,,,,,,,,,,,,,
1956015,MAXXIS,MAP-5,88V,1600,,,,,,,,,,,,
1956515,MAXXIS,MAP-5,,,,,,,,,,,,,,
2055516,MAXXIS,MAP-5,91V,1850,,,,,,,,,,,,
2057015,MAXXIS,MA579,106/104Q,,,,,,,,,,,,,
2156016,MAXXIS,MAP-5,,,,,,,,,,,,,,
2156516,MAXXIS,MA579,109/107Q,2700,,,,,,,,,,,,
2157015,MAXXIS,MA579,109/107Q,2200,0,0,,2125,5,,,,,,,
2157016,MAXXIS,MA579,,2850,,,,,,,,,,,,
1855515,DUNLOP,EC300+,,,,,,,,,,,,,,
1855516,DUNLOP,EC300+,83V,,,,,,,,,,,,,
1856015,DUNLOP,EC300+,84H,2000,,,,,,,,,,,,
1856016,DUNLOP,EC300+,86H,2850,,,,,,,,,,,,
1955015,DUNLOP,EC300+,82H,,,,,,,,,,,,,
1955515,DUNLOP,EC300+,,,,,,,,,,,,,,
1956015,DUNLOP,EC300+,88V,,,,,,,,,,,,,
1956016,DUNLOP,EC300+,89H,,,,,,,,,,,,,
1956515,DUNLOP,EC300+,91H,,,,,,,,,,,,,
2055516,DUNLOP,EC300+,,,,,,,,,,,,,,
2057015,DUNLOP,LT37,,,,,,,,,,,,,,
2154517,DUNLOP,LM705,91W,,,,,,,,,,,,,
2155516,DUNLOP,EC300+,,,,,,,,,,,,,,
2155517,DUNLOP,LM705,94V,,,,,,,,,,,,,
2156016,DUNLOP,EC300+,95H,,,,,,,,,,,,,
2156017,DUNLOP,EC300+,96H,,,,,,,,,,,,,
2156516,DUNLOP,LT37,106/104S,,,,,,,,,,,,,
2157015,DUNLOP,LT37,109/107S,,,,,,,,,,,,,
1855515,DAYTON,DT30,,,,,,,,,,,,,,
1855516,DAYTON,DT30,83V,2000,1025,3,,,,,,,,,,
1956515,DAYTON,DT30,91V,1750,,,,,,,,,,,,
